Twitter Handle & User Name,Tweet, external URL,Hashtags,Date of Tweet,Followers,Following,RT,FAV
"Lowetide , Lowetide",b'RT @tyleryaremchuk: Hour 2 of The Lowdown w/ @Lowetide on Podcast is up!\\n\\n(0:00) - Oil Kings PxP voice @AndrewPeard \\n\\n(16:12) - @kluedeke29\\u2026',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 18:32:26 +0000 2018,24945,12864,3,0
"Lowetide , Lowetide",b'RT @tyleryaremchuk: Hour 1 of The Lowdown w/ @Lowetide Podcast is up!\\n\\n(13:25) - @bigmouthsports takes us behind the curtain of #CFL live m\\u2026',no external urls in this tweet,['CFL'],Fri Sep 21 17:08:51 +0000 2018,24945,12864,3,0
"Lowetide , Lowetide",b'RT @tyleryaremchuk: Today on The Lowdown w/ @Lowetide on @TSN1260 \\n\\n10:20 - @bigmouthsports \\n10:40 - @AndyMc81 BROWNS WIN!\\n11:00 - @AndrewP\\u2026',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 15:50:42 +0000 2018,24945,12864,3,0
"Lowetide , Lowetide","b""@Zambolicious The NHL didn't list him as a rookie last year.\\nhttps://t.co/iwf3ljtiC5""","http://www.nhl.com/stats/player?reportType=season&seasonFrom=20172018&seasonTo=20172018&gameType=2&experience=1&playerPlayedFor=team.22&filter=gamesPlayed,gte,1&sort=points,goals,assists",no hashtags in this tweet,Fri Sep 21 15:38:45 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide",b'@dextermorgan5 @JonathanWillis Yep! You can follow him on Norad @TheAthleticEDM',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 14:44:36 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide","b""@Saskatchitoon @SLShockeyfan (whispers) don't order the steak.""",no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 14:42:57 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide","b'Oilers choice on blue comes down to temptation, Ty Rattie overnight sensation seven years after his draft day, pres\\u2026 https://t.co/hi6nP4xG6I'",https://twitter.com/i/web/status/1043145878498766849,no hashtags in this tweet,Fri Sep 21 14:32:12 +0000 2018,24945,12864,1,31
"Lowetide , Lowetide","b""RT @SABRbioproject: Happy 76th to hard-throwing Sam McDowell, #Indians ace who led the AL in K's 5 of 6 yrs ('65-70) &amp; twice fanned 300+.\\u2026""",no external urls in this tweet,['Indians'],Fri Sep 21 14:23:41 +0000 2018,24945,12864,41,0
"Lowetide , Lowetide",b'@lynnmercereau @CopyDarryl @BruceMcCurdy She can sing anything and make it right. Plant is my favourite rock singer\\u2026 https://t.co/C3pMl907xJ',https://twitter.com/i/web/status/1043127335497555968,no hashtags in this tweet,Fri Sep 21 13:18:31 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide",b'RT @SpotTheLoon2010: #ThePolice https://t.co/zMaEDQKjaN',no external urls in this tweet,['ThePolice'],Fri Sep 21 13:09:49 +0000 2018,24945,12864,24,0
"Lowetide , Lowetide","b""RT @EdmontonOilers: Don't you wish that you had Jesse's goal? Well, here it is! \\U0001f60b https://t.co/thSsgYhMBB""",no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 13:02:47 +0000 2018,24945,12864,122,0
"Lowetide , Lowetide",b'@AMAZlNGNATURE @Morley_Scott https://t.co/qI0lRtP2AC',https://www.theretrosite.com/watch.php?vid=60c4b5fc6,no hashtags in this tweet,Fri Sep 21 12:57:43 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide","b""@verifiedstats Thanks! That's very kind. Is there a key to the executive washroom? I hear laughter in there and wou\\u2026 https://t.co/Jge7bpPA08""",https://twitter.com/i/web/status/1043120153020387329,no hashtags in this tweet,Fri Sep 21 12:49:59 +0000 2018,24945,12864,2,15
"Lowetide , Lowetide",b'Feeling good for @AndyMc81  and @revRecluse tonight. Cleveland rocks!',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 03:35:11 +0000 2018,24945,12864,1,9
"Lowetide , Lowetide","b'@revRecluse And maybe that baseball team this fall too, my friend.'",no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 03:25:05 +0000 2018,24945,12864,0,2
"Lowetide , Lowetide","b""There's a red moon rising \\nOn the Cuyahoga River \\nRolling into Cleveland to the lake""",no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 03:23:57 +0000 2018,24945,12864,1,31
"Lowetide , Lowetide",b'@LJWestergard Predicting the results of sporting events is not my forte. :-)',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 02:50:48 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide",b'@ClarkeRaodi123 He has a rocket launcher for an arm.',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 02:48:48 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide",b'Browns run Philly Philly and I loved it.',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 02:47:40 +0000 2018,24945,12864,0,15
"Lowetide , Lowetide",b'RT @Robin_Brownlee: @Lowetide and @BruceMcCurdy taking in the action tonight. https://t.co/eQb55XjmLl',https://twitter.com/EdmontonOilers/status/1042961086704570369,no hashtags in this tweet,Fri Sep 21 02:25:20 +0000 2018,24945,12864,13,0
