Twitter Handle & User Name,Tweet, external URL,Hashtags,Filter Words,Date of Tweet,Followers,Following,RT,FAV
"OilersNation , OilersNation.com","b""RT @jsbmbaggedmilk: Smells like we have a good old fashioned goaltending controversy a brewin' https://t.co/qMGn2EIy3x""",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 06 01:39:53 +0000 2018,47384,1398,8,0
"OilersNation , OilersNation.com","b'LEON GETS US BACK IN IT! *puts on leiderhosen, thaws brats* 3-2 game. -bm https://t.co/aMNRjwDHhM'",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 06 01:26:40 +0000 2018,47384,1398,1,37
"OilersNation , OilersNation.com","b""I should be tweeting about the game but I'm eating chili and regret nothing. Goilers. -bm""",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 06 01:12:18 +0000 2018,47384,1398,0,16
"OilersNation , OilersNation.com","b'Thankfully, the Capitals are horrible cheaters and want us to get back in this hockey game. Please, accept the gift. Thank you. -bm #Goilers'",no external urls in this tweet,['Goilers'],"['oiler', 'game', 'win']",Tue Nov 06 00:24:33 +0000 2018,47384,1398,0,4
"OilersNation , OilersNation.com","b""Coach Baggedmilk's Keys to Victory: #Oilers\\n\\n-Remember the 4-1 win from like two weeks ago? Do all of that again.\\n-\\u2026 https://t.co/xP0NG8jiQv""",https://twitter.com/i/web/status/1059598229640142848,['Oilers'],"['oiler', 'game', 'win']",Tue Nov 06 00:07:58 +0000 2018,47384,1398,0,11
"OilersNation , OilersNation.com",b'Anyone bail on work early to get home for the early Oilers game? Slackers unite! -bm',no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 05 23:55:59 +0000 2018,47384,1398,0,18
"OilersNation , OilersNation.com",b'RT @jsbmbaggedmilk: Early game means an early edition of #FranksPicks! Will Frank improve upon his 8-5 record? We will soon find out! https\\u2026',no external urls in this tweet,['FranksPicks'],"['oiler', 'game', 'win']",Mon Nov 05 23:34:31 +0000 2018,47384,1398,2,0
"OilersNation , OilersNation.com","b""ICYMI: @JasonGregor  has your game news, notes, and numbers leading up to tonight's matchup with the Washington Cap\\u2026 https://t.co/8PeXJwkSg7""",https://twitter.com/i/web/status/1059588749418475521,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 05 23:30:18 +0000 2018,47384,1398,0,1
"OilersNation , OilersNation.com",b'The Oilers and Caps are facing off in an hour and @JasonGregor has your game day preview: https://t.co/Xdqgbkcrgm #Oilers #NHL',https://oilersnation.com/2018/11/05/game-preview-14-0-edmonton-oilers-at-washington-capitals-5pm-mt-sportsnet,"['Oilers', 'NHL']","['oiler', 'game', 'win']",Mon Nov 05 23:00:19 +0000 2018,47384,1398,0,1
"OilersNation , OilersNation.com",b'ICYMI: @cooom took an up and down look at the Western Conference and where the Oilers fit into the mix: https://t.co/TuM5wPg9VE #oilers #NHL',https://oilersnation.com/2018/11/05/top-to-bottom-a-look-at-the-ultra-competitive-western-conference-after-one-month,"['oilers', 'NHL']","['oiler', 'game', 'win']",Mon Nov 05 22:30:18 +0000 2018,47384,1398,0,1
